Profit & Loss account of Bandhan Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"12,183.90","10,891.79","9,486.24","5,727.23","3,823.60",
Income from Investments,"1,478.30","1,174.15",832.81,614.53,490.02,
Interest on Balance with RBI and Other Inter-Bank funds,140.51,118.21,163.26,73.32,141.61,
Others,68.41,340.05,403.19,228.28,347.06,
Total Interest Earned,"13,871.12","12,524.21","10,885.49","6,643.37","4,802.30",
Other Income,"2,822.82","2,109.06","1,549.20","1,063.05",706.18,
Total Income,"16,693.94","14,633.27","12,434.69","7,706.42","5,508.48",
EXPENDITURE,,,,,,
Interest Expended,"5,157.10","4,960.86","4,561.58","2,147.95","1,770.06",
Payments to and Provisions for Employees,"2,134.88","1,664.63","1,367.04","1,008.69",687.98,
Depreciation,110.04,103.06,80.26,78.17,85.92,
Operating Expenses (excludes Employee Cost & Depreciation),"1,278.52","1,049.46",979.25,723.41,534.41,
Total Operating Expenses,"3,523.44","2,817.16","2,426.54","1,810.28","1,308.31",
Provision Towards Income Tax,"1,010.87",761.52,"1,192.74","1,130.00",777.58,
Provision Towards Deferred Tax,-990.02,-18.32,-163.06,-68.45,-67.24,
Other Provisions and Contingencies,"7,884.78","3,906.60","1,393.15",735.13,374.21,
Total Provisions and Contingencies,"7,887.61","4,649.80","2,422.83","1,796.68","1,084.55",
Total Expenditure,"16,568.15","12,427.81","9,410.95","5,754.92","4,162.92",
Net Profit / Loss for The Year,125.79,"2,205.46","3,023.74","1,951.50","1,345.56",
Net Profit / Loss After EI & Prior Year Items,125.79,"2,205.46","3,023.74","1,951.50","1,345.56",
Profit / Loss Brought Forward,"6,171.00","4,758.71","3,283.64","2,057.60","1,048.43",
Total Profit / Loss available for Appropriations,"6,296.80","6,964.17","6,242.82","4,009.10","2,393.99",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,73.90,625.73,859.06,487.88,336.39,
Transfer To / From Capital Reserve,16.00,84.64,11.44,5.94,0.00,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,608.45,0.00,0.00,
Equity Share Dividend,161.07,0.00,0.00,143.80,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,"6,009.94","6,171.00","4,758.71","3,283.64","2,057.60",
Total Appropriations,"6,296.80","6,964.17","6,242.82","4,009.10","2,393.99",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),0.78,13.70,18.78,16.36,12.26,
Diluted EPS (Rs.),0.78,13.69,18.76,16.34,12.26,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,10.00,0.00,30.00,10.00,
Yearly Results of Bandhan Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"12,183.90","10,891.79","9,486.24","5,727.23","3,823.60",
(b) Income on Investment,"1,478.30","1,174.15",832.81,617.12,490.02,
(c) Int. on balances With RBI,140.51,118.21,163.26,71.42,141.61,
(d) Others,68.41,340.05,403.19,228.28,347.06,
Other Income,"2,822.82","2,109.06","1,549.20","1,063.05",706.18,
EXPENDITURE,,,,,,
Interest Expended,"5,157.10","4,960.86","4,561.58","2,147.95","1,770.06",
Employees Cost,"2,134.88","1,664.63","1,367.04","1,008.69",687.98,
Other Expenses,"1,388.56","1,152.53","1,059.50",802.27,620.33,
Depreciation,--,--,--,--,--,
